26386	783	497.894	47.6846	11116
27554	769	317.221	47.149	11236
28774	754	371.576	49.5203	11164
30048	740	367.791	47.7213	10476
31379	726	392.861	48.2273	10716
32768	713	453.46	47.877	11464
34219	699	404.212	48.4954	11036
35734	686	473.808	48.4859	11436
37316	674	390.564	48.885	11500
38968	661	454.11	48.6679	10552
40693	649	381.733	48.68	11592
42495	637	352.554	48.682	11224
44376	625	300.992	48.1123	12312
46341	613	414.574	48.3719	10708
48393	602	381.043	49.1069	11992
50535	590	414.725	47.5863	12332
52773	579	382.551	47.8241	11204
55109	568	419.651	47.2329	12152
57549	558	358.927	47.1443	13244
60097	547	460.144	47.0935	12876
62757	537	650.073	47.1953	12912
65536	527	394.856	46.8641	12232
68438	517	425.068	46.8321	12044
71468	508	354.407	46.556	13040
74632	498	450.882	46.6475	13384
77936	489	370.474	46.2973	14056
81386	480	409.731	45.9883	14244
84990	471	418.533	46.5075	12972
88752	462	397.011	46.0259	12552
92682	453	432.035	47.7232	13948
96785	445	474.076	46.8694	13488
101070	437	465.668	46.9292	13292
105545	428	412.005	44.5882	13988
110218	420	453.079	44.3061	14176
115098	413	455.501	44.1722	13792
120194	405	473.457	43.8229	14796
125515	397	412.662	43.5383	15188
131072	390	450.436	43.3629	15056
136875	383	482.708	43.3226	14308
142935	375	425.221	43.1913	14432
149263	368	443.383	43.0349	14704
155872	362	397.796	42.6157	16216
162773	355	441.33	42.5481	14840
169979	348	431.422	42.3233	15388
177505	342	367.678	42.4988	15448
185364	335	429.591	41.702	14784
193571	329	440.617	41.788	15004
202141	323	454.746	41.1404	16640
211090	317	432.293	40.891	14920
220436	311	416.666	40.6902	15540
230195	305	469.223	40.6998	16000
240387	299	493.846	40.4886	15520
251030	294	442.19	40.2299	15212
262144	288	464.708	40.2504	15480
273750	283	476.742	39.9139	16400
285870	278	430.924	39.8191	16860
298527	272	434.89	39.9995	17288
311744	267	396.7	39.3336	17888
325546	262	467.714	39.0877	18060
339959	257	476.981	39.0411	17652
355010	253	501.806	38.9806	17668
370728	248	463.012	38.5907	17040
387141	243	494.716	38.2605	17416
404281	239	550.046	38.0639	18520
422180	234	458.141	37.8409	18604
440872	230	462.687	37.685	18444
460391	226	499.796	37.9799	16996
480774	221	440.796	37.4012	18764
502060	217	554.714	39.6948	19040
524288	213	515.282	37.1554	17764
547500	209	571.541	37.0842	18476
571740	205	474.839	36.9888	18160
597053	201	511.025	36.9115	19188
623487	198	523.343	36.742	19500
651091	194	625.186	36.5743	17728
679917	190	611.2	36.4854	18332
710020	187	598.952	36.0758	20204
741455	183	808.262	35.9591	20084
774282	180	609.717	35.8436	19380
808563	176	725.597	35.7784	19356
844361	173	737.457	35.5706	20940
881744	170	634.565	36.1193	19836
920782	167	702.347	35.5845	19100
961548	164	617.854	35.0957	18900
1004120	161	664.118	35.1033	19936
1048576	158	801.449	35.0971	20272
1095000	155	903.497	35.5442	22128
1143480	152	711.921	35.9649	23316
1194106	149	675.584	35.9993	23372
1246974	146	846.158	36.685	24268
1302182	143	917.252	36.0287	25172
1359835	141	873.823	35.9453	23016
1420040	138	950.478	35.6454	23416
1482910	135	869.43	35.7521	23744
1548564	133	764.414	35.6634	23428
1617125	130	877.931	35.2121	25500
1688722	128	877.289	35.1118	25740
1763488	126	789.69	37.1915	23700
1841564	123	730.293	43.7706	25968
1923097	121	669.438	36.3579	26152
2008240	119	776.252	37.1724	24420
2097152	116	792.397	35.8506	25928
2190001	114	876.886	35.0994	25704
2286960	112	808.42	34.6093	26620
2388213	110	962.127	35.3223	26952
2493948	108	1025.43	35.425	26000
2604365	106	774.774	34.8957	27168
2719670	104	915.5	34.1423	25240
2840080	102	1138.45	34.3074	27300
2965821	100	928.72	34.3756	27448
3097129	98	849.469	34.0935	26024
3234251	96	1087.61	33.8497	27604
3377443	95	812.337	33.878	27156
3526975	93	1193.56	33.5576	26656
3683128	91	1171.2	33.5747	27288
3846194	89	890.011	33.5043	27592
4016479	88	996.227	33.8871	28056
4194304	86	769.86	37.3322	27692
4380002	84	747.512	37.0744	29116
4573921	83	1283.14	33.6588	28408
4776426	81	1319.44	33.5918	28516
